hourAverageMax,pressure500Height,windSpeed,humidity,tempSandburg,inversionBaseHeight,pressureGradientDaggett,inversionBaseTemp,visibility
3.0,5710.0,4,28.0,40.0,2693.0,-25.0,47.66,250
5.0,5700.0,3,37.0,45.0,590.0,-24.0,55.04,100
5.0,5760.0,3,51.0,54.0,1450.0,25.0,57.02,60
6.0,5720.0,4,69.0,35.0,1568.0,15.0,53.78,60
4.0,5790.0,6,19.0,45.0,2631.0,-33.0,54.14,100
4.0,5790.0,3,25.0,55.0,554.0,-28.0,64.76,250
6.0,5700.0,3,73.0,41.0,2083.0,23.0,52.52,120
7.0,5700.0,3,59.0,44.0,2654.0,-2.0,48.38,120
4.0,5770.0,8,27.0,54.0,5000.0,-19.0,48.56,120
6.0,5720.0,3,44.0,51.0,111.0,9.0,63.14,150
5.0,5760.0,6,33.0,51.0,492.0,-44.0,64.58,40
4.0,5780.0,6,19.0,54.0,5000.0,-44.0,56.3,200
4.0,5830.0,3,19.0,58.0,1249.0,-53.0,75.74,250
7.0,5870.0,2,19.0,61.0,5000.0,-67.0,65.48,200
5.0,5840.0,5,19.0,64.0,5000.0,-40.0,63.32,200
9.0,5780.0,4,59.0,67.0,639.0,1.0,66.02,150
4.0,5680.0,5,73.0,52.0,393.0,-68.0,69.8,10
3.0,5720.0,4,19.0,54.0,5000.0,-66.0,54.68,140
4.0,5760.0,3,19.0,54.0,5000.0,-58.0,51.98,250
4.0,5730.0,4,26.0,58.0,5000.0,-26.0,51.98,200
5.0,5700.0,5,59.0,69.0,3044.0,18.0,52.88,150
6.0,5650.0,5,70.0,51.0,3641.0,23.0,47.66,140
9.0,5680.0,3,64.0,53.0,111.0,-10.0,59.54,50
6.0,5820.0,5,19.0,59.0,597.0,-52.0,70.52,70
6.0,5810.0,5,19.0,64.0,1791.0,-15.0,64.76,150
11.0,5790.0,3,28.0,63.0,793.0,-15.0,65.84,120
10.0,5800.0,2,32.0,63.0,531.0,-38.0,75.92,40
7.0,5820.0,5,19.0,62.0,419.0,-29.0,75.74,120
12.0,5770.0,8,76.0,63.0,816.0,-7.0,66.2,6
9.0,5670.0,3,69.0,54.0,3651.0,62.0,49.1,30
2.0,5590.0,3,76.0,36.0,5000.0,70.0,37.94,100
3.0,5410.0,6,64.0,31.0,5000.0,28.0,32.36,200
3.0,5350.0,7,62.0,30.0,1341.0,18.0,45.86,60
2.0,5480.0,9,72.0,36.0,5000.0,0.0,38.66,350
3.0,5600.0,7,76.0,42.0,3799.0,-18.0,45.86,250
3.0,5490.0,11,72.0,37.0,5000.0,32.0,38.12,350
4.0,5560.0,10,72.0,41.0,5000.0,-1.0,37.58,300
6.0,5700.0,3,32.0,46.0,5000.0,-30.0,45.86,300
8.0,5680.0,5,50.0,51.0,5000.0,-8.0,45.5,300
6.0,5700.0,4,86.0,55.0,2398.0,21.0,53.78,200
4.0,5650.0,5,61.0,41.0,5000.0,51.0,36.32,100
3.0,5610.0,5,62.0,41.0,4281.0,42.0,41.36,250
7.0,5730.0,5,66.0,49.0,1161.0,27.0,52.88,200
11.0,5770.0,5,68.0,45.0,2778.0,2.0,55.76,200
13.0,5770.0,3,82.0,55.0,442.0,26.0,58.28,40
6.0,5690.0,8,21.0,41.0,5000.0,-30.0,42.26,300
5.0,5700.0,3,19.0,45.0,5000.0,-53.0,43.88,300
4.0,5730.0,11,19.0,51.0,5000.0,-43.0,49.1,300
4.0,5690.0,7,19.0,53.0,5000.0,7.0,49.1,300
6.0,5640.0,5,68.0,50.0,5000.0,24.0,42.08,300
10.0,5720.0,6,63.0,60.0,1341.0,19.0,59.18,150
15.0,5740.0,3,54.0,54.0,1318.0,2.0,64.58,150
23.0,5740.0,3,47.0,53.0,885.0,-4.0,67.1,80
17.0,5740.0,3,56.0,53.0,360.0,3.0,67.1,40
7.0,5670.0,7,61.0,44.0,3497.0,73.0,49.46,40
2.0,5550.0,10,74.0,40.0,5000.0,73.0,40.1,80
3.0,5470.0,7,46.0,30.0,5000.0,44.0,29.3,300
3.0,5320.0,11,45.0,25.0,5000.0,39.0,27.5,200
4.0,5530.0,3,43.0,40.0,5000.0,-12.0,33.62,140
6.0,5600.0,3,21.0,45.0,5000.0,-2.0,39.02,140
7.0,5660.0,7,57.0,51.0,5000.0,30.0,42.08,140
7.0,5580.0,5,42.0,48.0,3608.0,24.0,39.38,100
6.0,5510.0,5,50.0,45.0,5000.0,38.0,32.9,140
3.0,5530.0,5,61.0,47.0,5000.0,56.0,35.6,200
2.0,5620.0,9,61.0,43.0,5000.0,66.0,34.34,120
8.0,5690.0,0,60.0,49.0,613.0,-27.0,59.72,300
12.0,5760.0,4,31.0,56.0,334.0,-9.0,64.4,300
12.0,5740.0,3,66.0,53.0,567.0,13.0,61.88,150
16.0,5780.0,5,53.0,61.0,488.0,-20.0,64.94,2
9.0,5790.0,2,42.0,63.0,531.0,-15.0,71.06,50
24.0,5760.0,3,60.0,70.0,508.0,7.0,66.56,70
13.0,5700.0,4,82.0,57.0,1571.0,68.0,56.3,17
8.0,5680.0,4,57.0,35.0,721.0,28.0,55.4,140
10.0,5720.0,5,21.0,52.0,505.0,-49.0,67.28,140
8.0,5720.0,5,19.0,59.0,377.0,-27.0,73.22,300
9.0,5730.0,4,32.0,67.0,442.0,-9.0,75.74,200
10.0,5710.0,5,77.0,57.0,902.0,54.0,60.44,250
14.0,5720.0,4,71.0,42.0,1381.0,4.0,56.3,60
9.0,5710.0,3,19.0,55.0,5000.0,-16.0,50.0,100
11.0,5600.0,6,45.0,40.0,5000.0,38.0,46.94,150
7.0,5630.0,4,44.0,39.0,1302.0,40.0,52.7,150
9.0,5690.0,7,70.0,57.0,1292.0,-5.0,53.6,200
12.0,5730.0,6,45.0,58.0,5000.0,-14.0,52.7,100
12.0,5710.0,3,46.0,62.0,472.0,34.0,62.96,300
8.0,5610.0,6,50.0,51.0,1404.0,42.0,54.5,120
9.0,5680.0,5,69.0,61.0,944.0,35.0,55.76,100
5.0,5620.0,6,67.0,34.0,5000.0,75.0,35.24,200
4.0,5420.0,7,69.0,35.0,5000.0,41.0,30.92,200
4.0,5540.0,5,54.0,35.0,5000.0,62.0,33.44,200
9.0,5590.0,6,51.0,48.0,5000.0,44.0,42.08,300
13.0,5690.0,6,63.0,59.0,2014.0,31.0,53.42,300
5.0,5550.0,7,63.0,41.0,5000.0,56.0,37.22,250
10.0,5620.0,7,57.0,58.0,5000.0,27.0,47.66,120
10.0,5630.0,6,61.0,51.0,524.0,57.0,54.68,140
7.0,5580.0,7,78.0,46.0,5000.0,55.0,38.48,200
5.0,5560.0,4,65.0,40.0,5000.0,59.0,35.24,140
4.0,5440.0,5,44.0,35.0,5000.0,24.0,32.54,80
7.0,5480.0,7,51.0,46.0,2490.0,29.0,47.48,300
3.0,5620.0,5,73.0,39.0,5000.0,107.0,31.28,100
